key;group;minus_words;landing;intent;note
"корпоративный !ии ассистент";search_bofu_corp_ai_assistant;"бесплатно скачать курс обучение практикум интенсив вебинар промпт промты шаблон вакансия вакансии работа резюме реферат диплом книга нетология skillbox eduson";/request-demo;BOFU;"Основной оффер: ассистент для сотрудников/по документам"
"корпоративный ai ассистент";search_bofu_corp_ai_assistant;"бесплатно скачать курс обучение практикум интенсив вебинар промпт промты шаблон вакансия вакансии работа резюме реферат диплом книга нетология skillbox eduson";/request-demo;BOFU;"Вариант написания латиницей"
"ai ассистент !для сотрудников";search_bofu_corp_ai_assistant;"бесплатно скачать курс обучение практикум интенсив вебинар промпт промты шаблон вакансия вакансии работа резюме реферат диплом книга нетология skillbox eduson";/request-demo;BOFU;"Сильный B2B-интент, но низкая частота"
"!ии ассистент !для сотрудников";search_bofu_corp_ai_assistant;"бесплатно скачать курс обучение практикум интенсив вебинар промпт промты шаблон вакансия вакансии работа резюме реферат диплом книга нетология skillbox eduson";/request-demo;BOFU;"То же, кириллица"
"ассистент !для сотрудников компании";search_mofu_usecase_employees;"бесплатно скачать курс обучение практикум интенсив вебинар промпт промты шаблон вакансии работа резюме реферат диплом книга";/;MOFU;"Часть запросов TOFU — лучше вести на лендинг с кейсами"
"внедрение ai";search_bofu_ai_implementation;"бесплатно скачать курс обучение практикум интенсив вебинар промпт промты шаблон вакансия вакансии работа резюме реферат диплом книга нетология skillbox eduson";/request-demo;BOFU;"Базовый кластер «внедрение»"
"внедрение ai !в бизнес";search_bofu_ai_implementation;"бесплатно скачать курс обучение практикум интенсив вебинар промпт промты шаблон вакансия вакансии работа резюме реферат диплом книга нетология skillbox eduson";/request-demo;BOFU;"Фиксируем предлог"
"внедрение ai !в компании";search_bofu_ai_implementation;"бесплатно скачать курс обучение практикум интенсив вебинар промпт промты шаблон вакансия вакансии работа резюме реферат диплом книга нетология skillbox eduson";/request-demo;BOFU;"B2B-интент"
"внедрение ai решений";search_bofu_ai_implementation;"бесплатно скачать курс обучение практикум интенсив вебинар промпт промты шаблон вакансия вакансии работа резюме реферат диплом книга нетология skillbox eduson";/request-demo;BOFU;"B2B-интент"
"внедрение ai !в бизнес процессы";search_bofu_ai_implementation;"бесплатно скачать курс обучение практикум интенсив вебинар промпт промты шаблон вакансия вакансии работа резюме реферат диплом книга";/request-demo;BOFU;"Можно тестировать как отдельную группу"
"внедрение ai ассистента";search_bofu_ai_implementation;"бесплатно скачать курс обучение практикум интенсив вебинар промпт промты шаблон вакансия вакансии работа резюме реферат диплом книга";/request-demo;BOFU;"Максимально близко к продукту"
"внедрение ai агентов";search_bofu_ai_implementation;"бесплатно скачать курс обучение практикум интенсив вебинар промпт промты шаблон вакансия вакансии работа резюме";/request-demo;BOFU;"Узкий, но «свежий» интент"
"внедрение ai чат ботов";search_bofu_ai_implementation;"бесплатно скачать курс обучение практикум интенсив вебинар промпт промты шаблон вакансия вакансии работа резюме";/request-demo;BOFU;"Смежный к «чатбот под ключ»"
"внедрение нейросети";search_bofu_ai_implementation;"бесплатно скачать курс обучение практикум интенсив вебинар промпт промты шаблон вакансия вакансии работа резюме реферат диплом книга";/request-demo;BOFU;"Вариант без «AI»"
"внедрение нейросетей !в бизнес";search_bofu_ai_implementation;"бесплатно скачать курс обучение практикум интенсив вебинар промпт промты шаблон вакансия вакансии работа резюме реферат диплом книга";/request-demo;BOFU;"SMB/B2B"
"внедрение нейросетей !в организации";search_bofu_ai_implementation;"бесплатно скачать курс обучение практикум интенсив вебинар промпт промты шаблон вакансия вакансии работа резюме";/request-demo;BOFU;"B2B"
"внедрение нейросетей !в рабочие процессы";search_bofu_ai_implementation;"бесплатно скачать курс обучение практикум интенсив вебинар промпт промты шаблон вакансии работа резюме";/request-demo;BOFU;"B2B"
"разработка !и внедрение искусственного интеллекта";search_bofu_ai_implementation;"бесплатно скачать курс обучение практикум интенсив вебинар промпт промты шаблон реферат диплом книга";/request-demo;BOFU;"Широкий, но коммерческий"
"внедрение искусственного интеллекта !в бизнес";search_mofu_ai_in_business;"бесплатно скачать курс обучение практикум интенсив вебинар промпт промты шаблон реферат диплом";/;MOFU;"Часто TOFU — вести на основной лендинг"
"внедрение искусственного интеллекта компании";search_mofu_ai_in_business;"бесплатно скачать курс обучение практикум интенсив вебинар промпт промты шаблон реферат диплом";/;MOFU;"B2B-вариант"
"разработка чат ботов";search_bofu_chatbot_dev;"бесплатно скачать курс обучение с нуля вакансии работа резюме python java бот для общения знакомства";/request-demo;BOFU;"Обязательна минусация (много B2C/обучение)"
"разработка чат бота с !ии";search_bofu_chatbot_dev;"бесплатно скачать курс обучение с нуля вакансии работа резюме python java botfather как создать";/request-demo;BOFU;"Наиболее релевантный к офферу"
"разработка ai чат ботов";search_bofu_chatbot_dev;"бесплатно скачать курс обучение с нуля вакансии работа резюме python java";/request-demo;BOFU;"B2B/SMB"
"разработка чат ботов !для бизнеса";search_bofu_chatbot_dev;"бесплатно скачать курс обучение с нуля вакансии работа резюме python java";/request-demo;BOFU;"B2B/SMB"
"разработка !и внедрение чат ботов";search_bofu_chatbot_dev;"бесплатно скачать курс обучение вакансии работа резюме";/request-demo;BOFU;"B2B"
"разработка интеллектуального чат бота";search_mofu_chatbot_solution;"бесплатно скачать курс обучение вакансии работа резюме";/;MOFU;"Можно вести на лендинг, затем ретаргет на демо"
"заказать разработку чат бота";search_bofu_chatbot_dev;"бесплатно скачать курс обучение вакансии работа резюме";/request-demo;BOFU;"Явный BOFU"
"разработка чат бота под ключ";search_bofu_chatbot_dev;"бесплатно скачать курс обучение вакансии работа резюме";/request-demo;BOFU;"Явный BOFU"
"стоимость разработки чат бота";search_bofu_chatbot_dev;"бесплатно скачать курс обучение вакансии работа резюме";/request-demo;BOFU;"Явный BOFU"
"сколько стоит разработка чат бота";search_bofu_chatbot_dev;"бесплатно скачать курс обучение вакансии работа резюме";/request-demo;BOFU;"BOFU"
"чат бот !для компании";search_bofu_corp_chatbot_usecases;"бесплатно скачать курс обучение вакансии работа резюме бот для общения знакомства";/request-demo;BOFU;"Нужна посадочная «для сотрудников»"
"чат бот !для сотрудников компании";search_bofu_corp_chatbot_usecases;"бесплатно скачать курс обучение вакансии работа резюме";/request-demo;BOFU;"HR/IT"
"чат бот !для новых сотрудников";search_mofu_corp_chatbot_usecases;"бесплатно скачать курс обучение вакансии работа резюме";/;MOFU;"Часто в HR-интенте; вести на лендинг с кейсом HR"
"чат бот !для адаптации новых сотрудников";search_mofu_corp_chatbot_usecases;"бесплатно скачать курс обучение вакансии работа резюме";/;MOFU;"HR-интент"
"чат бот база знаний";search_bofu_docs_kb;"бесплатно скачать курс обучение вакансии работа резюме";/request-demo;BOFU;"KB для поддержки/IT"
"чат бот !для базы знаний";search_bofu_docs_kb;"бесплатно скачать курс обучение вакансии работа резюме";/request-demo;BOFU;"KB для поддержки/IT"
"база знаний !для бота";search_mofu_docs_kb;"бесплатно скачать курс обучение вакансии работа резюме";/;MOFU;"Иногда про конструкторы — минусовать бренд‑конструкторы при необходимости"
"чат бот !по документам";search_bofu_docs_rag;"бесплатно скачать курс обучение вакансии работа резюме windows pdf word ctrl клавиши";/request-demo;BOFU;"Ваш differentiator: «ответ + источник»"
"чат gpt !по документам";search_mofu_docs_rag;"бесплатно скачать курс обучение промпт промты шаблон windows pdf word";/;MOFU;"Часть интента «как сделать самому» — отсекать «как/настройка» при желании"
"rag внедрение";search_bofu_docs_rag;"бесплатно скачать курс обучение вакансии работа резюме";/request-demo;BOFU;"Узкий B2B/IT"
"rag llm !для поиска !по документам";search_bofu_docs_rag;"бесплатно скачать курс обучение вакансии работа резюме";/request-demo;BOFU;"Супер‑нишевый"
"системы поиска !по документам";search_bofu_enterprise_search;"бесплатно скачать курс обучение вакансии работа резюме windows pdf word ctrl";/request-demo;BOFU;"Целевой enterprise‑интент"
"интеллектуальный поиск !по документам";search_bofu_enterprise_search;"бесплатно скачать курс обучение вакансии работа резюме windows pdf word ctrl";/request-demo;BOFU;"Ближе к AI‑поиску"
"enterprise search";search_mofu_enterprise_search;"бесплатно скачать курс обучение вакансии работа резюме";/;MOFU;"Обычно сравнение продуктов — вести на лендинг + ретаргет"
"naumen enterprise search";search_competitor_enterprise_search;"бесплатно скачать курс обучение вакансии работа резюме";/;MOFU;"Конкурентный интент; аккуратно с формулировками"
"поиск !по базе знаний";search_mofu_docs_kb;"бесплатно скачать курс обучение вакансии работа резюме";/;MOFU;"ITSM/поддержка"
"локальные llm";search_mofu_onprem_llm;"бесплатно скачать курс обучение промпт промты шаблон видеокарта на пк как запустить";/;MOFU;"Много DIY; держать отдельной кампанией + ретаргет"
"локальная llm модель";search_mofu_onprem_llm;"бесплатно скачать курс обучение промпт промты шаблон видеокарта на пк как запустить";/;MOFU;"DIY‑интент выше среднего"
"локальное развертывание llm";search_bofu_onprem_llm;"бесплатно скачать курс обучение вакансии работа резюме видеокарта на пк";/request-demo;BOFU;"Наиболее «проектный» on‑prem запрос"
"развертывание локальной llm !на сервере";search_bofu_onprem_llm;"бесплатно скачать курс обучение вакансии работа резюме";/request-demo;BOFU;"Очень релевантно, но низкая частота"
"on prem llm";search_bofu_onprem_llm;"бесплатно скачать курс обучение вакансии работа резюме premier premium";/request-demo;BOFU;"Снижает шум «on prem»"
"on prem ai";search_bofu_onprem_llm;"бесплатно скачать курс обучение вакансии работа резюме premier premium";/request-demo;BOFU;"Снижает шум «on prem»"
"корпоративный chatgpt";search_mofu_providers;"бесплатно скачать курс обучение промпт промты шаблон";/;MOFU;"Вход через знакомый бренд"
"chatgpt !для бизнеса";search_mofu_providers;"бесплатно скачать курс обучение промпт промты шаблон";/;MOFU;"Часто про промпты; держать в отдельной кампании"
"gigachat !для бизнеса";search_mofu_providers;"бесплатно скачать курс обучение промпт промты шаблон";/;MOFU;"Вход через провайдера"
"yandexgpt !для бизнеса";search_mofu_providers;"бесплатно скачать курс обучение промпт промты шаблон";/;MOFU;"Вход через провайдера"
"суверенный !ии";search_test_sovereign_ai;"бесплатно скачать курс обучение промпт промты шаблон";/;MOFU;"Тестовый кластер: термин нестабилен по интенту"
"суверенный !ии россия";search_test_sovereign_ai;"бесплатно скачать курс обучение промпт промты шаблон";/;MOFU;"Тестовый кластер"
"ai !в закрытом контуре";search_test_closed_contour;"отопление котел теплый пол колебательный контур дыхательный контур";/;MOFU;"Тестировать только с жёсткой минусацией (термин многозначный)"
"llm !в закрытом контуре";search_test_closed_contour;"отопление котел теплый пол колебательный контур дыхательный контур";/;MOFU;"Тестовая гипотеза"

"внедрение ai кейсы";rsya_tofu_ai_content;"бесплатно скачать курс обучение вакансии работа резюме";/;TOFU;"РСЯ/контент: кейсы + ретаргет на демо"
"примеры внедрения ai";rsya_tofu_ai_content;"бесплатно скачать курс обучение вакансии работа резюме";/;TOFU;"РСЯ/контент"
"эффекты внедрения искусственного интеллекта";rsya_tofu_ai_content;"бесплатно скачать курс обучение вакансии работа резюме";/;TOFU;"РСЯ/контент: «как считать эффект»"
"риски внедрения искусственного интеллекта";rsya_tofu_ai_content;"бесплатно скачать курс обучение вакансии работа резюме";/;TOFU;"РСЯ/контент: безопасность/ИБ"
"техническое задание разработка чат бота";rsya_tofu_chatbot_content;"бесплатно скачать курс обучение вакансии работа резюме";/;TOFU;"РСЯ/контент: чек‑лист ТЗ + ретаргет"
"этапы разработки чат бота";rsya_tofu_chatbot_content;"бесплатно скачать курс обучение вакансии работа резюме";/;TOFU;"РСЯ/контент"
"платформы !для разработки чат ботов";rsya_tofu_chatbot_content;"бесплатно скачать курс обучение вакансии работа резюме";/;TOFU;"РСЯ/контент (осторожно: конструкторы)"
"как использовать нейросети !для бизнеса";rsya_tofu_ai_content;"скачать курс обучение практикум интенсив вебинар";/;TOFU;"РСЯ/контент: гайд/чек‑лист"
